"site","record_type","Mean_Bd","Proportion_Infected","cp","cs","limd","limp","limt","lp","ul","secchi_avg_cleaned"
1,"Adult",438,0.714285714285714,1,1,0,1,1,0,0,11.25
1,"Tadpole",0,0,1,1,0,1,1,0,0,11.25
3,"Adult",625,0.5,1,1,0,0,1,0,1,36.75
3,"Tadpole",0,0,1,1,0,0,1,0,1,36.75
4,"Adult",253.6,0.6,1,1,0,0,1,1,1,33.25
4,"Tadpole",0,0,1,1,0,0,1,1,1,33.25
6,"Adult",1905,1,1,1,0,0,1,1,1,48.375
6,"Tadpole",0,0.075,1,1,0,0,1,1,1,48.375
9,"Adult",5.0952380952381,0.238095238095238,0,1,0,0,1,0,0,0
9,"Tadpole",0,0,0,1,0,0,1,0,0,0
15,"Adult",68,0.5,1,1,1,1,1,0,1,28.75
25,"Adult",0,0,1,1,0,0,1,1,1,15.5
25,"Tadpole",0,0,1,1,0,0,1,1,1,15.5
26,"Adult",1224.61538461538,0.923076923076923,1,1,0,0,1,1,1,24.625
26,"Tadpole",0,0,1,1,0,0,1,1,1,24.625
27,"Adult",0,0.142857142857143,1,1,0,0,1,1,1,38.625
27,"Tadpole",13.275,0.075,1,1,0,0,1,1,1,38.625
32,"Adult",0,0,1,1,1,0,1,1,1,83.75
32,"Tadpole",0,0,1,1,1,0,1,1,1,83.75
33,"Adult",0,0.333333333333333,0,1,0,0,1,1,1,88.875
33,"Tadpole",0,0,0,1,0,0,1,1,1,88.875
34,"Adult",157.5,0.6,0,1,0,0,0,0,1,0
34,"Tadpole",0,0,0,1,0,0,0,0,1,0
38,"Adult",143.75,1,1,1,0,0,1,0,1,49.875
38,"Tadpole",0,0,1,1,0,0,1,0,1,49.875
41,"Adult",117.875,0.5,1,1,0,1,1,1,1,40.25
42,"Adult",0,0,1,1,0,0,1,0,0,46.75
43,"Adult",178.75,0.5,1,1,0,0,1,0,1,62.75
43,"Tadpole",0,0.05,1,1,0,0,1,0,1,62.75
47,"Adult",0,0.1,0,1,0,0,1,0,0,0
54,"Adult",1321.6,0.8,1,1,0,0,1,1,1,53.625
54,"Tadpole",5.2,0.025,1,1,0,0,1,1,1,53.625
55,"Adult",109.75,0.75,1,1,1,1,0,1,1,6.58
55,"Tadpole",0,0,1,1,1,1,0,1,1,6.58
56,"Adult",97,0.25,1,1,0,1,1,0,0,54
58,"Adult",683.9,0.6,0,1,1,0,1,0,0,0
58,"Tadpole",0,NA,0,1,1,0,1,0,0,0
59,"Adult",0,0.4,0,1,0,0,0,0,0,0
59,"Tadpole",0,0,0,1,0,0,0,0,0,0
68,"Adult",146.65,0.7,1,1,0,0,1,1,1,0
68,"Tadpole",0,0,1,1,0,0,1,1,1,0
