"site","elevation","Survey_period","mean_temp","min_temp","max_temp"
"1",637,"1",13.4109589041096,10.5,26
"25",636,"1",13.3801369863014,10.5,26.5
"25",636,"2",15.6404109589041,13,23.5
"26",584,"1",14.2397260273973,10,23
"27",610,"1",15.3013698630137,13,25
"27",610,"2",18.3664383561644,15.5,24
"3",641,"1",14.9691780821918,12,23.5
"3",641,"2",17.6849315068493,13.5,27.5
"32",752,"1",14.5719178082192,12.5,21.5
"32",752,"2",14.6164383561644,9.5,20
"33",791,"1",14.0993150684931,11.5,19.5
"33",791,"2",18.6883561643836,15.5,40
"34",1225,"1",12.4166666666667,8.5,21.5
"34",1225,"2",10.9332061068702,4.5,23
"38",470,"1",14.2123287671233,13,18
"38",470,"2",20.4383561643836,17,53.5
"43",655,"1",14.0513698630137,11,22.5
"43",655,"2",18.7431506849315,14.5,31.5
"54",607,"1",14.4691780821918,12,25
"54",607,"2",17.7054794520548,14,31.5
"55",660,"1",12.4554794520548,10.5,23.5
"55",660,"2",15.4486301369863,12,28.5
"58",1100,"1",14.6031746031746,5.5,29
"58",1100,"2",11.3861111111111,5,21
"59",1361,"2",10.7051724137931,5,30
"6",641,"1",15.8082191780822,13,22
"6",641,"2",18.2123287671233,15,25.5
"68",768,"1",17.7739726027397,15,21
"68",768,"2",21.5582191780822,18.5,27.5
"9",1100,"1",12.4878048780488,9.5,20.5
"9",1100,"2",13.5478087649402,10,21
